Timestamp,Preocupaciones/Distracciones
11/16/2024 9:18:49,Comida
11/16/2024 9:37:30,Comida
11/16/2024 9:42:26,Fausto y sus necesidades
11/16/2024 9:47:08,Mi Cumpleaños
11/16/2024 10:17:31,Shopping List
11/16/2024 11:23:24,Mamis del Colegio
11/16/2024 11:23:58,Eloisa y sus necesidades
11/16/2024 12:01:41,Diego y sus necesidades
11/16/2024 12:40:04,Shopping List
11/16/2024 13:02:05,Shopping List
11/16/2024 13:40:38,Otro
11/16/2024 13:44:23,Shopping List
11/16/2024 14:02:31,Vacaciones
11/16/2024 19:57:13,Comida
11/16/2024 19:57:20,Shopping List
11/16/2024 20:05:30,Otro
11/16/2024 20:05:46,Shopping List
11/16/2024 20:06:04,Mi Cumpleaños
11/16/2024 22:01:51,Shopping List
11/17/2024 8:34:44,Shopping List
11/17/2024 10:28:01,Eloisa y sus necesidades
11/17/2024 12:22:23,Eloisa y sus necesidades
11/17/2024 15:29:45,Amigas de la vida
11/17/2024 15:31:30,Fausto y sus necesidades
11/17/2024 15:55:28,Amigas de la vida
11/17/2024 16:25:44,Eloisa y sus necesidades
11/17/2024 17:58:19,Mi Cumpleaños
11/17/2024 21:19:32,Fausto y sus necesidades
11/17/2024 21:37:29,Mi Cumpleaños
11/17/2024 23:16:57,Mi Cumpleaños
11/18/2024 7:59:08,Shopping List
11/18/2024 8:27:55,Comida
11/18/2024 8:39:53,Shopping List
11/18/2024 9:58:03,Fausto y sus necesidades
11/18/2024 12:08:24,Mi Cumpleaños
11/18/2024 15:31:02,Shopping List
11/18/2024 16:08:24,Mi Cumpleaños
11/18/2024 17:50:30,Shopping List
11/18/2024 18:07:14,Shopping List
11/18/2024 19:44:39,Comida
11/18/2024 21:21:11,Shopping List
11/19/2024 6:17:21,Shopping List
11/19/2024 6:21:15,Fiestas
11/19/2024 6:38:52,Otro
11/19/2024 6:39:57,Trabajo
11/19/2024 6:40:08,Fausto y sus necesidades
11/19/2024 6:43:42,Comida
11/19/2024 8:28:11,Otro
11/19/2024 14:12:13,Otro
11/19/2024 17:36:21,Mamis del Colegio
11/19/2024 17:36:36,Fausto y sus necesidades
11/19/2024 17:51:41,Diego y sus necesidades
11/19/2024 17:54:56,Colegio de Fausto
11/20/2024 8:15:02,Mi Cumpleaños
11/20/2024 8:15:41,Diego y sus necesidades
11/20/2024 10:27:31,Otro
11/20/2024 10:30:30,Trabajo
11/20/2024 11:01:20,Mamis del Colegio
11/20/2024 12:05:37,Mi Cumpleaños
11/20/2024 12:14:58,Mi Cumpleaños
11/20/2024 15:05:51,Fausto y sus necesidades
11/20/2024 15:25:21,Fausto y sus necesidades
11/20/2024 15:33:01,Mamis del Colegio
11/20/2024 16:19:20,Fiestas
11/20/2024 16:19:25,Mamis del Colegio
11/20/2024 18:43:01,Amigas de la vida
11/20/2024 18:43:07,Comida
11/20/2024 19:27:53,Otro
11/20/2024 19:43:33,Fausto y sus necesidades
11/21/2024 1:14:52,Mi Cumpleaños
11/21/2024 1:14:59,Amigas de la vida
11/21/2024 7:01:34,Shopping List
11/21/2024 10:12:44,Fausto y sus necesidades
11/21/2024 11:39:56,Shopping List
11/21/2024 14:52:31,Mamis del Colegio
11/21/2024 17:46:18,Mamis del Colegio
11/21/2024 17:46:26,Mi Cumpleaños
11/21/2024 18:09:37,Amigas de la vida
11/21/2024 19:00:45,Mi Cumpleaños
11/21/2024 23:10:40,Fausto y sus necesidades
11/21/2024 23:10:47,Trabajo
11/22/2024 6:22:11,Shopping List
11/22/2024 6:32:56,Mi Cumpleaños
11/22/2024 9:07:08,Diego y sus necesidades
11/22/2024 21:12:15,Fausto y sus necesidades
11/22/2024 21:12:22,Amigas de la vida
11/22/2024 22:04:43,Comida